GeneID,Category
MT-ATP6,Ribo_mito
MT-CO1,Ribo_mito
MT-CO2,Ribo_mito
MT-CO3,Ribo_mito
MT-CYB,Ribo_mito
MT-ND1,Ribo_mito
MT-ND2,Ribo_mito
MT-ND3,Ribo_mito
MT-ND4,Ribo_mito
MT-ND5,Ribo_mito
RPL10,Ribo_mito
RPL10A,Ribo_mito
RPL11,Ribo_mito
RPL12,Ribo_mito
RPL13,Ribo_mito
RPL13A,Ribo_mito
RPL14,Ribo_mito
RPL15,Ribo_mito
RPL17,Ribo_mito
RPL18,Ribo_mito
RPL18A,Ribo_mito
RPL19,Ribo_mito
RPL21,Ribo_mito
RPL22,Ribo_mito
RPL22L1,Ribo_mito
RPL23,Ribo_mito
RPL23A,Ribo_mito
RPL24,Ribo_mito
RPL26,Ribo_mito
RPL26L1,Ribo_mito
RPL27,Ribo_mito
RPL27A,Ribo_mito
RPL28,Ribo_mito
RPL29,Ribo_mito
RPL3,Ribo_mito
RPL30,Ribo_mito
RPL31,Ribo_mito
RPL32,Ribo_mito
RPL34,Ribo_mito
RPL35,Ribo_mito
RPL35A,Ribo_mito
RPL36,Ribo_mito
RPL36A,Ribo_mito
RPL36AL,Ribo_mito
RPL37,Ribo_mito
RPL37A,Ribo_mito
RPL38,Ribo_mito
RPL39,Ribo_mito
RPL4,Ribo_mito
RPL41,Ribo_mito
RPL5,Ribo_mito
RPL6,Ribo_mito
RPL7,Ribo_mito
RPL7A,Ribo_mito
RPL7L1,Ribo_mito
RPL8,Ribo_mito
RPL9,Ribo_mito
RPLP1,Ribo_mito
RPLP2,Ribo_mito
RPS10,Ribo_mito
RPS11,Ribo_mito
RPS12,Ribo_mito
RPS13,Ribo_mito
RPS14,Ribo_mito
RPS15,Ribo_mito
RPS15A,Ribo_mito
RPS16,Ribo_mito
RPS17,Ribo_mito
RPS18,Ribo_mito
RPS19,Ribo_mito
RPS19BP1,Ribo_mito
RPS2,Ribo_mito
RPS20,Ribo_mito
RPS21,Ribo_mito
RPS23,Ribo_mito
RPS24,Ribo_mito
RPS25,Ribo_mito
RPS26,Ribo_mito
RPS27,Ribo_mito
