Protocol,Name,Label,Count
CMO,CellHashing,cutoff.htodemux.CMO301,38
CMO,CellHashing,cutoff.htodemux.CMO302,119
CMO,CellHashing,cutoff.htodemux.CMO303,31
CMO,CellHashing,cutoff.htodemux.CMO304,52
CMO,CellHashing,cutoff.htodemux.CMO305,31
CMO,CellHashing,cutoff.htodemux.CMO306,43
CMO,CellHashing,cutoff.htodemux.CMO307,45
CMO,CellHashing,cutoff.htodemux.CMO308,33
CMO,CellHashing,cutoff.htodemux.CMO309,34
CMO,CellHashing,cutoff.htodemux.CMO310,30
CMO,CellHashing,cutoff.htodemux.CMO311,39
CMO,CellHashing,cutoff.htodemux.CMO312,47
CMO,CellHashing,Singlet.bff_cluster,15021
CMO,CellHashing,Doublet.bff_cluster,3175
CMO,CellHashing,Negative.bff_cluster,861
CMO,CellHashing,NotCalled.bff_cluster,0
CMO,CellHashing,Singlet.gmm_demux,11742
CMO,CellHashing,Doublet.gmm_demux,6750
CMO,CellHashing,Negative.gmm_demux,565
CMO,CellHashing,NotCalled.gmm_demux,0
CMO,CellHashing,Singlet.multiseq,12282
CMO,CellHashing,Doublet.multiseq,5310
CMO,CellHashing,Negative.multiseq,1465
CMO,CellHashing,NotCalled.multiseq,0
CMO,CellHashing,Singlet.htodemux,10025
CMO,CellHashing,Doublet.htodemux,8666
CMO,CellHashing,Negative.htodemux,366
CMO,CellHashing,NotCalled.htodemux,0
CMO,CellHashing,Singlet.dropletutils,12760
CMO,CellHashing,Doublet.dropletutils,54
CMO,CellHashing,Negative.dropletutils,6243
CMO,CellHashing,NotCalled.dropletutils,0
CMO,CellHashing,TotalSinglet,10065
CMO,CellHashing,TotalDoublet,3154
CMO,CellHashing,TotalNegative,326
CMO,CellHashing,TotalDiscordant,5512
CMO,CellHashing,TotalLowCounts,0
CMO,CellHashing,FractionCalled,0.982893424988193
CMO,CellHashing,FractionSinglet,0.528152384950412
CMO,CellHashing,FractionDoublet,0.165503489531406
CMO,CellHashing,FractionNegative,0.0171065750118067
CMO,CellHashing,FractionDiscordant,0.289237550506376
LMO,CellHashing,cutoff.htodemux.MULTI-2,136
LMO,CellHashing,cutoff.htodemux.MULTI-3,110
LMO,CellHashing,cutoff.htodemux.MULTI-4,422
LMO,CellHashing,cutoff.htodemux.MULTI-5,204
LMO,CellHashing,cutoff.htodemux.MULTI-6,344
LMO,CellHashing,cutoff.htodemux.MULTI-7,27
LMO,CellHashing,cutoff.htodemux.MULTI-8,492
LMO,CellHashing,cutoff.htodemux.MULTI-9,135
LMO,CellHashing,Singlet.bff_cluster,20500
LMO,CellHashing,Doublet.bff_cluster,1670
LMO,CellHashing,Negative.bff_cluster,324
LMO,CellHashing,NotCalled.bff_cluster,0
LMO,CellHashing,Singlet.gmm_demux,17547
LMO,CellHashing,Doublet.gmm_demux,4868
LMO,CellHashing,Negative.gmm_demux,79
LMO,CellHashing,NotCalled.gmm_demux,0
LMO,CellHashing,Singlet.multiseq,17710
LMO,CellHashing,Doublet.multiseq,4533
LMO,CellHashing,Negative.multiseq,251
LMO,CellHashing,NotCalled.multiseq,0
LMO,CellHashing,Singlet.htodemux,16611
LMO,CellHashing,Doublet.htodemux,5778
LMO,CellHashing,Negative.htodemux,105
LMO,CellHashing,NotCalled.htodemux,0
LMO,CellHashing,Singlet.dropletutils,17232
LMO,CellHashing,Doublet.dropletutils,4602
LMO,CellHashing,Negative.dropletutils,660
LMO,CellHashing,NotCalled.dropletutils,0
LMO,CellHashing,TotalSinglet,16462
LMO,CellHashing,TotalDoublet,1671
LMO,CellHashing,TotalNegative,40
LMO,CellHashing,TotalDiscordant,4321
LMO,CellHashing,TotalLowCounts,0
LMO,CellHashing,FractionCalled,0.998221748021695
LMO,CellHashing,FractionSinglet,0.731839601671557
LMO,CellHashing,FractionDoublet,0.074286476393705
LMO,CellHashing,FractionNegative,0.00177825197830533
LMO,CellHashing,FractionDiscordant,0.192095669956433
LMO,CellHashing,cutoff.htodemux.MULTI-2,3
LMO,CellHashing,cutoff.htodemux.MULTI-3,26
LMO,CellHashing,cutoff.htodemux.MULTI-4,153
LMO,CellHashing,cutoff.htodemux.MULTI-5,90
LMO,CellHashing,cutoff.htodemux.MULTI-6,116
LMO,CellHashing,cutoff.htodemux.MULTI-7,20
LMO,CellHashing,cutoff.htodemux.MULTI-8,433
LMO,CellHashing,cutoff.htodemux.MULTI-9,17
LMO,CellHashing,cutoff.htodemux.MULTI-10,60
LMO,CellHashing,cutoff.htodemux.MULTI-11,69
LMO,CellHashing,cutoff.htodemux.MULTI-12,37
LMO,CellHashing,cutoff.htodemux.MULTI-13,103
LMO,CellHashing,Singlet.bff_cluster,7730
LMO,CellHashing,Doublet.bff_cluster,1810
LMO,CellHashing,Negative.bff_cluster,30
LMO,CellHashing,NotCalled.bff_cluster,0
LMO,CellHashing,Singlet.gmm_demux,3833
LMO,CellHashing,Doublet.gmm_demux,3830
LMO,CellHashing,Negative.gmm_demux,1907
LMO,CellHashing,NotCalled.gmm_demux,0
LMO,CellHashing,Singlet.multiseq,2787
LMO,CellHashing,Doublet.multiseq,1700
LMO,CellHashing,Negative.multiseq,5083
LMO,CellHashing,NotCalled.multiseq,0
LMO,CellHashing,Singlet.htodemux,4169
LMO,CellHashing,Doublet.htodemux,3871
LMO,CellHashing,Negative.htodemux,1530
LMO,CellHashing,NotCalled.htodemux,0
LMO,CellHashing,Singlet.dropletutils,3517
LMO,CellHashing,Doublet.dropletutils,438
LMO,CellHashing,Negative.dropletutils,5615
LMO,CellHashing,NotCalled.dropletutils,0
LMO,CellHashing,TotalSinglet,3915
LMO,CellHashing,TotalDoublet,1341
LMO,CellHashing,TotalNegative,25
LMO,CellHashing,TotalDiscordant,4289
LMO,CellHashing,TotalLowCounts,0
LMO,CellHashing,FractionCalled,0.997387669801463
LMO,CellHashing,FractionSinglet,0.409090909090909
LMO,CellHashing,FractionDoublet,0.14012539184953
LMO,CellHashing,FractionNegative,0.0026123301985371
LMO,CellHashing,FractionDiscordant,0.448171368861024
NXT,CellHashing,cutoff.htodemux.Nxt-451,33
NXT,CellHashing,cutoff.htodemux.Nxt-452,56
NXT,CellHashing,cutoff.htodemux.Nxt-453,96
NXT,CellHashing,cutoff.htodemux.Nxt-455,21
NXT,CellHashing,cutoff.htodemux.Nxt-456,60
NXT,CellHashing,cutoff.htodemux.Nxt-457,84
NXT,CellHashing,cutoff.htodemux.Nxt-458,8
NXT,CellHashing,cutoff.htodemux.Nxt-459,33
NXT,CellHashing,cutoff.htodemux.Nxt-460,191
NXT,CellHashing,cutoff.htodemux.Nxt-462,25
NXT,CellHashing,cutoff.htodemux.Nxt-463,21
NXT,CellHashing,cutoff.htodemux.Nxt-465,13
NXT,CellHashing,Singlet.bff_cluster,13123
NXT,CellHashing,Doublet.bff_cluster,4770
NXT,CellHashing,Negative.bff_cluster,0
NXT,CellHashing,NotCalled.bff_cluster,0
NXT,CellHashing,Singlet.gmm_demux,8900
NXT,CellHashing,Doublet.gmm_demux,8109
NXT,CellHashing,Negative.gmm_demux,884
NXT,CellHashing,NotCalled.gmm_demux,0
NXT,CellHashing,Singlet.multiseq,10017
NXT,CellHashing,Doublet.multiseq,4954
NXT,CellHashing,Negative.multiseq,2922
NXT,CellHashing,NotCalled.multiseq,0
NXT,CellHashing,Singlet.htodemux,8953
NXT,CellHashing,Doublet.htodemux,8000
NXT,CellHashing,Negative.htodemux,940
NXT,CellHashing,NotCalled.htodemux,0
NXT,CellHashing,Singlet.dropletutils,9301
NXT,CellHashing,Doublet.dropletutils,2174
NXT,CellHashing,Negative.dropletutils,6418
NXT,CellHashing,NotCalled.dropletutils,0
NXT,CellHashing,TotalSinglet,8783
NXT,CellHashing,TotalDoublet,3893
NXT,CellHashing,TotalNegative,0
NXT,CellHashing,TotalDiscordant,5217
NXT,CellHashing,TotalLowCounts,0
NXT,CellHashing,FractionCalled,1
NXT,CellHashing,FractionSinglet,0.490862348404404
NXT,CellHashing,FractionDoublet,0.217571117196669
NXT,CellHashing,FractionNegative,0
NXT,CellHashing,FractionDiscordant,0.291566534398927
