Protocol,Name,Label,Count
CMO,CellHashing,cutoff.htodemux.CMO301,198
CMO,CellHashing,cutoff.htodemux.CMO302,48
CMO,CellHashing,cutoff.htodemux.CMO303,23
CMO,CellHashing,cutoff.htodemux.CMO304,30
CMO,CellHashing,Singlet.bff_cluster,4135
CMO,CellHashing,Doublet.bff_cluster,1374
CMO,CellHashing,Negative.bff_cluster,0
CMO,CellHashing,NotCalled.bff_cluster,0
CMO,CellHashing,Singlet.gmm_demux,3012
CMO,CellHashing,Doublet.gmm_demux,1864
CMO,CellHashing,Negative.gmm_demux,633
CMO,CellHashing,NotCalled.gmm_demux,0
CMO,CellHashing,Singlet.multiseq,2112
CMO,CellHashing,Doublet.multiseq,259
CMO,CellHashing,Negative.multiseq,3138
CMO,CellHashing,NotCalled.multiseq,0
CMO,CellHashing,Singlet.htodemux,2440
CMO,CellHashing,Doublet.htodemux,1182
CMO,CellHashing,Negative.htodemux,1887
CMO,CellHashing,NotCalled.htodemux,0
CMO,CellHashing,Singlet.dropletutils,2003
CMO,CellHashing,Doublet.dropletutils,330
CMO,CellHashing,Negative.dropletutils,3176
CMO,CellHashing,NotCalled.dropletutils,0
CMO,CellHashing,TotalSinglet,794
CMO,CellHashing,TotalDoublet,255
CMO,CellHashing,TotalNegative,0
CMO,CellHashing,TotalDiscordant,4460
CMO,CellHashing,TotalLowCounts,0
CMO,CellHashing,FractionCalled,1
CMO,CellHashing,FractionSinglet,0.144127790887638
CMO,CellHashing,FractionDoublet,0.0462878925394809
CMO,CellHashing,FractionNegative,0
CMO,CellHashing,FractionDiscordant,0.809584316572881
CMO,CellHashing,cutoff.htodemux.CMO301,198
CMO,CellHashing,cutoff.htodemux.CMO302,48
CMO,CellHashing,cutoff.htodemux.CMO303,23
CMO,CellHashing,cutoff.htodemux.CMO304,30
CMO,CellHashing,Singlet.bff_cluster,4135
CMO,CellHashing,Doublet.bff_cluster,1374
CMO,CellHashing,Negative.bff_cluster,0
CMO,CellHashing,NotCalled.bff_cluster,0
CMO,CellHashing,Singlet.gmm_demux,2959
CMO,CellHashing,Doublet.gmm_demux,2038
CMO,CellHashing,Negative.gmm_demux,512
CMO,CellHashing,NotCalled.gmm_demux,0
CMO,CellHashing,Singlet.multiseq,2112
CMO,CellHashing,Doublet.multiseq,259
CMO,CellHashing,Negative.multiseq,3138
CMO,CellHashing,NotCalled.multiseq,0
CMO,CellHashing,Singlet.htodemux,2440
CMO,CellHashing,Doublet.htodemux,1182
CMO,CellHashing,Negative.htodemux,1887
CMO,CellHashing,NotCalled.htodemux,0
CMO,CellHashing,Singlet.dropletutils,2003
CMO,CellHashing,Doublet.dropletutils,330
CMO,CellHashing,Negative.dropletutils,3176
CMO,CellHashing,NotCalled.dropletutils,0
CMO,CellHashing,TotalSinglet,752
CMO,CellHashing,TotalDoublet,224
CMO,CellHashing,TotalNegative,0
CMO,CellHashing,TotalDiscordant,4533
CMO,CellHashing,TotalLowCounts,0
CMO,CellHashing,FractionCalled,1
CMO,CellHashing,FractionSinglet,0.136503902704665
CMO,CellHashing,FractionDoublet,0.0406607369758577
CMO,CellHashing,FractionNegative,0
CMO,CellHashing,FractionDiscordant,0.822835360319477
NXT,CellHashing,cutoff.htodemux.Nxt-451,339
NXT,CellHashing,cutoff.htodemux.Nxt-452,660
NXT,CellHashing,cutoff.htodemux.Nxt-453,48
NXT,CellHashing,cutoff.htodemux.Nxt-455,72
NXT,CellHashing,Singlet.bff_cluster,0
