vir_Donor,Classification,Protocol,n,percent,algorithm,match
multiplet,multiplet,LMO,2766,96.64570230607966,Cell Ranger,TRUE
VBDR1233,VBDR1233,CMO,3037,94.78776529338327,Cell Ranger,TRUE
VBDR1216,VBDR1216,CMO,3330,94.54855195911414,Cell Ranger,TRUE
VBDR1206,VBDR1206,CMO,2611,93.35001787629604,Cell Ranger,TRUE
VBDR1186,VBDR1186,CMO,4494,93.29458168984846,Cell Ranger,TRUE
VBDR1186,VBDR1186,LMO,3787,91.60619254958877,Cell Ranger,TRUE
VBDR1233,VBDR1233,LMO,5850,91.29213483146067,Cell Ranger,TRUE
VBDR1206,VBDR1206,LMO,2973,90.64024390243902,Cell Ranger,TRUE
VBDR1216,VBDR1216,LMO,3881,90.50839552238806,Cell Ranger,TRUE
unassigned,multiplet,LMO,157,85.32608695652173,Cell Ranger,FALSE
multiplet,multiplet,HTO,2595,83.87201034259859,Cell Ranger,TRUE
VBDR1233,VBDR1233,HTO,3653,82.53502033438771,Cell Ranger,TRUE
NA,unassigned,CMO,2815,79.05082841898343,Cell Ranger,NA
VBDR1216,VBDR1216,HTO,2995,78.36211407639979,Cell Ranger,TRUE
VBDR1186,VBDR1186,HTO,4576,78.02216538789429,Cell Ranger,TRUE
VBDR1206,VBDR1206,HTO,2891,77.58990874932904,Cell Ranger,TRUE
multiplet,multiplet,CMO,1243,77.49376558603491,Cell Ranger,TRUE
unassigned,multiplet,HTO,84,65.11627906976744,Cell Ranger,FALSE
unassigned,multiplet,CMO,28,54.90196078431373,Cell Ranger,FALSE
NA,empty,CMO,746,20.949171581016568,Cell Ranger,NA
unassigned,VBDR1206,CMO,9,17.647058823529413,Cell Ranger,FALSE
unassigned,unassigned,HTO,22,17.05426356589147,Cell Ranger,TRUE
unassigned,VBDR1216,CMO,8,15.686274509803921,Cell Ranger,FALSE
VBDR1206,unassigned,HTO,573,15.37842190016103,Cell Ranger,FALSE
multiplet,unassigned,HTO,432,13.962508080155139,Cell Ranger,FALSE
VBDR1186,unassigned,HTO,805,13.725490196078432,Cell Ranger,FALSE
VBDR1216,unassigned,HTO,520,13.60544217687075,Cell Ranger,FALSE
unassigned,empty,HTO,16,12.4031007751938,Cell Ranger,FALSE
VBDR1233,unassigned,HTO,527,11.906913691821057,Cell Ranger,FALSE
VBDR1216,multiplet,LMO,361,8.418843283582088,Cell Ranger,FALSE
VBDR1186,multiplet,HTO,479,8.167092924126171,Cell Ranger,FALSE
VBDR1216,multiplet,HTO,302,7.901622187336472,Cell Ranger,FALSE
unassigned,VBDR1233,CMO,4,7.8431372549019605,Cell Ranger,FALSE
VBDR1206,multiplet,LMO,251,7.652439024390244,Cell Ranger,FALSE
VBDR1233,multiplet,LMO,476,7.428214731585518,Cell Ranger,FALSE
multiplet,VBDR1186,CMO,108,6.733167082294264,Cell Ranger,FALSE
VBDR1186,multiplet,LMO,272,6.579583938074504,Cell Ranger,FALSE
VBDR1186,multiplet,CMO,310,6.435540793024703,Cell Ranger,FALSE
VBDR1206,multiplet,CMO,175,6.2567036110117975,Cell Ranger,FALSE
VBDR1206,multiplet,HTO,223,5.984970477724101,Cell Ranger,FALSE
unassigned,VBDR1216,LMO,11,5.978260869565218,Cell Ranger,FALSE
multiplet,VBDR1216,CMO,95,5.922693266832918,Cell Ranger,FALSE
multiplet,VBDR1206,CMO,89,5.548628428927681,Cell Ranger,FALSE
VBDR1233,multiplet,HTO,229,5.17397198373249,Cell Ranger,FALSE
VBDR1216,multiplet,CMO,165,4.6848381601362865,Cell Ranger,FALSE
